tshirt,positive_pant,detailed,medium,low,empty,dif
a93ac5ec8d289dd929ec83d2dbca1970,9f6478fe6d63ef860d267c0da71195fd,"Generate an image of  dark indigo denim wide-leg bib overalls with adjustable shoulder straps, a chest bib pocket, metal hardware, and roomy pockets",Generate an image of dark indigo wide-leg bib overalls,Generate an image of bib overalls, ,"A photo of a Bib Overalls, on white background, high quality."
eac0ee9615697890bfb050c8b91d8bf8,f929441c05e9644cb5d8019cc9d43594,"An image of  black layered pinstripe streetwear shorts with relaxed fit, dual-layer construction, subtle vertical pinstripes, and lightweight woven fabric",Generate an image of  black layered streetwear shorts with a relaxed fit,Generate an image of pinstripe shorts, ,"A photo of a Shorts, on white background, high quality."
2532a0324448575c667e4323af44056d,817651cc89f8ea21adf969ff1baa27d7,"An image of navy polyester jogger track pants in a tapered athletic fit, elastic waistband and ribbed cuffs, featuring blue and white side stripes",Generate an image of navy tapered jogger track pants with side stripes,Generate an image of jogger track pants, ,"A photo of a Track Pants, on white background, high quality."
5947898b4badcbfeb4023e06fc716704,0f39e554ab9fb5fd38e58b4a73da5c43,An image of blue wide-leg cropped denim jeans with cuffed hems,Generate an image of blue wide-leg cropped jeans,Generate an image of cuffed denim jeans, ,"A photo of a Jeans, on white background, high quality."
a39f15407fec080c87d2fe78639dc4b0,cf0fb554098239c4f9e6de6f05fc2c06,An image of beige high-waist straight-leg cotton chino pants with classic belt loops and side pockets,Generate an image of beige straight-leg chino pants,Generate an image of chino pants, ,"A photo of a Chinos, on white background, high quality."
a39f15407fec080c87d2fe78639dc4b0,cf0fb554098239c4f9e6de6f05fc2c06,An image of beige high-waist straight-leg cotton chino pants with classic belt loops and side pockets,Generate an image of beige straight-leg chino pants,Generate an image of chino pants, ,"A photo of a Chino Pants, on white background, high quality."
81e9e21302aecebadfa13c743fc2adb8,2eecf2f09097afcdb621b67ba706f6b9,"An image of  black knee-length sweat shorts in soft cotton fleece, relaxed fit with an adjustable drawstring waistband and clean straight hems",Generate an image of black knee-length sweat shorts with a drawstring waist,Generate an image of sweat shorts, ,"A photo of a Sweat Shorts, on white background, high quality."
52369eba1f54640da68931e8c9cd9492,8c9d0b832e5d8817819879fdbbfb804d,"An image of a brown plaid wool-blend maxi skirt with an elastic waistband, ankle-length A-line silhouette, and softly draped fabric",Generate an image of a brown plaid maxi skirt with elastic waist,Generate an image of a maxi skirt, ,"A photo of a Skirt, on white background, high quality."
dacbe0d71036def0f2d8e70446d97396,0887af6d5e98d3514662e2ce295b961b,"An image of  light-wash distressed denim shorts in a relaxed fit, featuring frayed hems and a coordinating belt",Generate an image of light-wash distressed denim shorts with frayed hems,Generate an image of denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
950a7a8ce4addb57f62d6116bec09be6,eaea61e912baabecdc22a70556741d47,"An image of light-wash cotton denim shorts with a high-waisted fit, lace-up front threaded by pink ribbon, frayed hems, and classic five-pocket detailing",Generate an image of high-waisted light-wash denim shorts with a lace-up front,Generate an image of denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
78e6356506227c796ba70b13f9e7045d,77e9a65384da2eb905f39cdd176081a2,An image of  light-wash slim-fit denim jean shorts featuring a classic five-pocket design and a mid-thigh frayed hem,Generate an image of slim-fit light-wash denim jean shorts,Generate an image of jean shorts, ,"A photo of a Jeans, on white background, high quality."
e8fb98a910238f78b3fb25041ab210b1,34c0a558d0a9c8e02d580277ee483b85,"An image of  black stretch denim skinny jeans featuring a high waist, button-fly closure, and contrast stitching",Generate an image of black high-waisted skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
d369e9c34dbd6c05480073135417731e,58ef082044d0b2c51a93f0bbe82f7dac,"An image of black high-waisted skinny pants with a zip front, sleek stretch fabric, and stirrup foot loops for a streamlined silhouette",Generate an image of black high-waist skinny stirrup pants,Generate an image of stirrup pants, ,"A photo of a Skinny Pants, on white background, high quality."
d369e9c34dbd6c05480073135417731e,58ef082044d0b2c51a93f0bbe82f7dac,"An image of black high-waisted skinny pants with a zip front, sleek stretch fabric, and stirrup foot loops for a streamlined silhouette",Generate an image of black high-waist skinny stirrup pants,Generate an image of stirrup pants, ,"A photo of a Pants, on white background, high quality."
cee9dd389ea525481b54b09fa3288557,6f73b41781d11a6369b604319175f662,"An image of olive green cargo jogger pants in cotton fabric, tapered fit, with an elastic waistband, drawstring, and multiple cargo pockets",Generate an image of olive green tapered cargo jogger pants with an elastic waist,Generate an image of cargo jogger pants, ,"A photo of a Cargo Jogger Pants, on white background, high quality."
152d302acfd74421dbbcf07fb128cf8b,0277731499ec1c0bc3132ab8a31849fc,"Generate an image of light wash blue cotton denim boyfriend jeans featuring a relaxed fit, distressed detailing, and casually rolled cuffs",Generate an image of light wash boyfriend jeans with a relaxed fit and distressed accents,Generate an image of boyfriend jeans with rolled cuffs, ,"A photo of a Jeans, on white background, high quality."
3f536509e52a984522d126efd338c55b,730a646e12da3a2bee5cd903c8de453a,"An image of high-waisted blue denim mom jeans featuring a tapered leg, relaxed fit, classic five-pocket styling and a button fly",Generate an image of high-waisted mom jeans with tapered legs,Generate an image of mom jeans, ,"A photo of a Jeans, on white background, high quality."
05b6d80bc3fb99748ca37dfeea24bca1,042ac5fd666b693a9150c49d4e8eb4c9,"An image of light wash cotton denim shorts with a mid-rise regular fit, delicate floral embroidery, classic five-pocket styling, and lightly frayed hems",Generate an image of light wash embroidered denim shorts with a relaxed fit,Generate an image of denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
ff87e401a9a0ecc715cc27449ab3b792,e5e3c977a6d3e8cbf8f7f188e1d9af33,"An image of white high-waisted denim shorts made from sturdy cotton denim, featuring a snug high-rise fit and distressed frayed hems",Generate an image of white high-waisted denim shorts with a frayed hem,Generate an image of denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
80965615f332a961b05f09bfca37f422,8326fb6e287c6d6046f34c84e0116095,"An image of black slim straight-fit denim jeans , crafted from sturdy denim fabric with distressed abrasions and raw-cut hems",Generate an image of black slim straight denim jeans,Generate an image of distressed denim jeans, ,"A photo of a Jeans, on white background, high quality."
908b72521ef1049d20fc53c4ac22ce59,51ff7cfe88e7afbfa73f1ef0ad5f6dc3,An image of indigo skinny denim jeans featuring an elastic waistband and red drawstring,Generate an image of skinny indigo jeans with an elastic waist,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
d07721d1ed71264d3cb331974de6143c,bb08edf932637c6de7a0fd3b48130867,An image of  light-wash distressed denim skinny jeans with a form-fitting stretch fit and frayed ripped detailing,Generate an image of light-wash skinny jeans with distressing,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
21d98f40cf479a83660723700b8bafde,5e2764413415ffb69f364a6525ef42c3,"An image of black stretch denim skinny jeans with a body-hugging fit, five-pocket styling, and colorful sequin star patches scattered across the legs",Generate an image of black skinny jeans with sequin star patches,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
54e8b66cefc4fb65a89ad94d1cc2c741,6d539905922c1d5940ac1282225be667,"Generate an image of dark wash denim jeans with a wide-leg fit, distressed detailing, and cuffed hems",Generate an image of wide-leg dark wash denim jeans,Generate an image of distressed jeans, ,"A photo of a Jeans, on white background, high quality."
705875e58539f3d322519428b3db8ff1,404e394b205161ce0163ac0211a2bc8c,"An image of  light-wash blue denim straight-leg jeans featuring a high-rise waist, distressed details, and classic five-pocket styling",Generate an image of light-wash high-rise straight-leg jeans,Generate an image of straight-leg jeans, ,"A photo of a Jeans, on white background, high quality."
fd17126e59380a00067ad08a6ebf2e72,b50211c43d52eb32235ac1dba7d9bf27,"An image of black cotton streetwear cargo jogger pants with a relaxed tapered fit, elastic waistband and cuffs, multiple flap cargo pockets, and a bold red patch accent",Generate an image of black relaxed-fit cargo jogger pants with elastic cuffs,Generate an image of cargo jogger pants, ,"A photo of a Cargo Jogger Pants, on white background, high quality."
cb795f79cb5b10f91b4bbccb417616b0,89be000f2747e83b411927d2e2e0d0e0,"An image of  medium-wash blue denim straight-leg jeans with cuffed hems, classic five-pocket styling, and a mid-rise fit",Generate an image of  straight-leg medium-wash jeans with cuffed hems,Generate an image of straight-leg jeans, ,"A photo of a Jeans, on white background, high quality."
909ff160c886bbadc97bf614ede1e8d7,c4798edac860a8caa27a95490995185a,"An image of black distressed denim cutoff shorts with frayed hems, mid-rise relaxed fit, crafted from sturdy cotton denim",Generate an image of black relaxed-fit denim cutoff shorts,Generate an image of denim shorts, ,"A photo of a Shorts, on white background, high quality."
909ff160c886bbadc97bf614ede1e8d7,c4798edac860a8caa27a95490995185a,"An image of black distressed denim cutoff shorts with frayed hems, mid-rise relaxed fit, crafted from sturdy cotton denim",Generate an image of black relaxed-fit denim cutoff shorts,Generate an image of denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
909ff160c886bbadc97bf614ede1e8d7,c4798edac860a8caa27a95490995185a,"An image of black distressed denim cutoff shorts with frayed hems, mid-rise relaxed fit, crafted from sturdy cotton denim",Generate an image of black relaxed-fit denim cutoff shorts,Generate an image of denim shorts, ,"A photo of a Cutoff Shorts, on white background, high quality."
dc8b1541cbe32ff689315a1f8ebae953,c250136766f604e79355d2112b3db5d9,"An image of black high-rise stretch skinny jeans made from stretchy denim, featuring a slim-fit silhouette, classic five-pocket styling, belt loops, and a zip fly",Generate an image of black high-rise skinny jeans with a slim fit,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
842d0846958d339a2c7e5d7a789ce5c5,f2a46edea6809f922c1d095833e95699,"An image of black denim cropped flare jeans with a fitted silhouette, frayed raw hems, and slight stretch",Generate an image of black cropped flare denim jeans,Generate an image of flare jeans, ,"A photo of a Jeans, on white background, high quality."
7f70f883123c3374d9204083bb3b1109,618d5105a706ef66d3e869699e5656c2,"An image of light wash high-waisted wide-leg denim jeans with a relaxed silhouette, classic five-pocket styling, and full-length hem",Generate an image of high-waisted wide-leg denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
6762aa17d7e509429299b802ed37bf17,c60c3bb5b1639f60621a39dad86c34cc,An image of blue denim mid-rise jean shorts with cuffed hems,Generate an image of blue mid-rise jean shorts,Generate an image of jean shorts, ,"A photo of a Jeans, on white background, high quality."
95ae2104a3adafc96615ff36fec06875,8aff62b2cfb7641af178649cc41d9d30,An image of light wash high-waisted denim cutoff shorts with a frayed hem,Generate an image of light wash high-waisted denim cutoff shorts,Generate an image of denim cutoff shorts, ,"A photo of a Denim Shorts, on white background, high quality."
6df7d7af7a36a738e176b234ef737f64,9eb177822c270358f2900b16bbcaa5e1,"Generate an image of black denim skinny ankle jeans with a snug, ankle-length fit, five-pocket design, and a vibrant multicolor frayed hem",Generate an image of black skinny ankle jeans with a multicolor frayed hem,Generate an image of skinny ankle jeans, ,"A photo of a Jeans, on white background, high quality."
d5af6ea2a53a4953b5aefb85d7946b10,911459025993772a857968adc78a2ec4,"An image of light-wash denim culotte jeans with a wide-leg cropped fit, crafted from sturdy cotton denim, featuring a high-rise waist, classic five-pocket construction, belt loops, and a clean hem",Generate an image of light-wash wide-leg cropped culotte jeans,Generate an image of culotte jeans, ,"A photo of a Jeans, on white background, high quality."
c24c9e363f8557e3836e340c35b5a4fa,c4632415ed14e389be702b469ba56bdb,An image of black stretch-denim high-waisted skinny jeans featuring classic five-pocket styling and a button fly,Generate an image of black high-waisted skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
74c0a90d0eefc67a688795a0da3b14ad,e337236632bf5bcf5cade647519d5d7b,"Generate an image of light-wash blue high-waisted denim shorts made from cotton denim, featuring a fitted waist, relaxed thigh fit, classic five-pocket styling, and a frayed raw hem",Generate an image of high-waisted light-wash denim shorts with a relaxed fit,Generate an image of denim shorts with a raw hem, ,"A photo of a Denim Shorts, on white background, high quality."
a6dfbcee52d4c65ec9c675b9e75683fd,7c05e4366cd68782da55f87627074a66,"An image of light wash blue denim cutoff shorts with a high-waisted fit, distressed abrasions, and frayed hems",Generate an image of light wash high-waisted denim cutoff shorts,Generate an image of denim cutoff shorts, ,"A photo of a Denim Shorts, on white background, high quality."
a6dfbcee52d4c65ec9c675b9e75683fd,7c05e4366cd68782da55f87627074a66,"An image of light wash blue denim cutoff shorts with a high-waisted fit, distressed abrasions, and frayed hems",Generate an image of light wash high-waisted denim cutoff shorts,Generate an image of denim cutoff shorts, ,"A photo of a Shorts, on white background, high quality."
de89736a9b35bf16d29c9c478d2d3b6f,ff795af25812145fb3b7375bc2789185,An image of light wash denim straight-leg cropped jeans with raw-cut hems and classic five-pocket detailing,Generate an image of light wash straight-leg cropped jeans,Generate an image of cropped jeans, ,"A photo of a Jeans, on white background, high quality."
48a273c9da2cfe903c362893cf905385,aba77c4ba620afd9049338ed7f44818e,An image of  black denim flared jeans with a mid-rise fit and contrast stitching,Generate an image of  flared jeans with contrast stitching,Generate an image of flared jeans, ,"A photo of a Jeans, on white background, high quality."
499133379a7aacc026ec06e722073b7a,57cdaa4e8f5c8c986dae9d88cdc27950,"An image of light wash cotton denim cargo jeans with a relaxed fit and high waist, featuring multiple utility pockets and straight legs",Generate an image of light wash relaxed fit cargo jeans,Generate an image of cargo jeans, ,"A photo of a Jeans, on white background, high quality."
aa77401c891e918c3a1f6475e0362e80,7a044108c107a843a2f88536faa656dd,An image of washed black denim wide-leg jeans featuring a relaxed fit and vintage faded wash,Generate an image of wide-leg denim jeans in washed black,Generate an image of wide-leg jeans, ,"A photo of a Jeans, on white background, high quality."
4cec9b3cad9c3f1e31814a9631a0669c,540261d05de6d6c2b0da00e31b120345,"Generate an image of high-waisted black washed denim straight-leg mom jeans with a classic five-pocket layout, belt loops, and a button fly",Generate an image of black high-waisted straight-leg mom jeans,Generate an image of mom jeans, ,"A photo of a Jeans, on white background, high quality."
0ff733a8f79a9a5fe3be6c2fb0cf6395,5b3328bd0241192bbac55f830bbc8be1,"An image of light wash distressed denim shorts with an elastic waistband, relaxed fit, and frayed hems",Generate an image of light wash elastic-waist denim shorts,Generate an image of denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
219a6e11da187d586d4b85f229094355,0d8bde554d7adb72d7d412a6e084b1a8,"An image of black fleece jogger sweatpants with a relaxed tapered fit, elastic drawstring waistband, ribbed cuffs, soft brushed fleece fabric, contrasting white side stripes, and a large bold script logo down the leg",Generate an image of black tapered fleece jogger sweatpants with white side stripes and a script logo,Generate an image of jogger sweatpants, ,"A photo of a Sweatpants, on white background, high quality."
257e75ffb5ff032e225b6d6bc9744c35,8c4cb0c367919fd73b665bc7013e5133,"An image of black high-waisted  denim shorts made from sturdy cotton denim, featuring a V-shaped hemline, raw frayed edges, and a fitted silhouette",Generate an image of black high-waisted frayed denim shorts,Generate an image of denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
95548f9b70f8e7bf68c617f6753661d6,c4aaa2e5a26f7d3564b1a083db2e1177,"An image of indigo wide-leg cuffed denim jeans with bold contrast stitching, crafted from sturdy cotton denim",Generate an image of indigo wide-leg denim jeans,Generate an image of wide-leg jeans, ,"A photo of a Jeans, on white background, high quality."
135f33b22e8f987a1d9fa3c31f1573fe,c39903e857e7b3082754953205fe162e,"An image of olive green cotton jogger pants in a relaxed fit, featuring an elastic drawstring waistband and ribbed ankle cuffs",Generate an image of olive green relaxed-fit jogger pants,Generate an image of jogger pants, ,"A photo of a Joggers, on white background, high quality."
135f33b22e8f987a1d9fa3c31f1573fe,c39903e857e7b3082754953205fe162e,"An image of olive green cotton jogger pants in a relaxed fit, featuring an elastic drawstring waistband and ribbed ankle cuffs",Generate an image of olive green relaxed-fit jogger pants,Generate an image of jogger pants, ,"A photo of a Jogger Pants, on white background, high quality."
3e964fb4cc2d208b0fed6c1e6f99e8bc,a5956920d1fcca8366a4c1df6d49a742,"An image of light blue high-waisted denim shorts featuring a lace-up ribbon front, frayed hem, and slim fit",Generate an image of high-waisted light blue denim shorts,Generate an image of denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
0e690f953e56c65e455d10571ffa5bd9,7a09e049d348b2e9bde382b8f2fae758,"An image of khaki beige cotton cargo jogger pants with a drawstring waist, relaxed tapered fit, elastic cuffs, and multiple flap cargo pockets",Generate an image of khaki tapered cargo jogger pants,Generate an image of cargo jogger pants, ,"A photo of a Cargo Jogger Pants, on white background, high quality."
3464a7b68ef662bec121cd9ad5c41605,312cd000819dcb1359ed2343ad45af96,"An image of a yellow striped long-sleeve mini shirt dress in lightweight cotton with a self-tie belt, button-down front, and flattering relaxed fit",Generate an image of a yellow striped belted mini shirt dress,Generate an image of a striped shirt dress, ,"A photo of a Dress, on white background, high quality."
73830648079637259450a53293fd31e3,22f4ac04a69f61d70dc2823c44ef36a5,An image of  white denim skinny ankle jeans featuring distressed patches and frayed hems,Generate an image of white skinny ankle jeans with distressed details,Generate an image of ankle jeans, ,"A photo of a Jeans, on white background, high quality."
fa558c78fe4d764e1869dcde25175b0d,2454a200ccb81b3f4ed54d9a187e4ce3,"An image of black fleece jogger sweatpants with a drawstring waistband, tapered fit, and ribbed cuffs",Generate an image of black tapered jogger sweatpants,Generate an image of jogger sweatpants, ,"A photo of a Sweatpants, on white background, high quality."
40ae2a7c2526386074147136dbf3f9cc,2205cb083461c9c3629f0dbd0919c702,"An image of blue cotton denim skinny ankle jeans with a high waist, distressed abrasions, and raw hems",Generate an image of blue high-waist skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
c96982badbe6f45a06abd52bec9c46dd,a8fa80bb795cbfc58144a8344f2c6313,An image of light-wash denim wide-leg cropped jeans with a raw hem and relaxed fit,Generate an image of light-wash wide-leg cropped jeans,Generate an image of cropped jeans, ,"A photo of a Jeans, on white background, high quality."
12e8cee7c182f2f0f80590c1ef66fed4,e8b5df25e4a3029b49813716d1a109a5,"An image of light wash denim wide-leg pants featuring a relaxed fit, elastic waistband with adjustable drawstring, and classic five-pocket detailing",Generate an image of light wash wide-leg denim pants with a relaxed fit,Generate an image of wide-leg denim pants, ,"A photo of a Jeans, on white background, high quality."
244e4da4477cc7f5bd51ee6763a8105f,3fa948ebe1ad65181c1e58c14a18d3c3,"An image of washed black denim cargo jogger pants in rugged denim fabric, relaxed tapered fit, elastic drawstring waistband, multiple flap cargo pockets, ribbed ankle cuffs",Generate an image of washed black denim cargo jogger pants with a tapered fit,Generate an image of cargo jogger pants, ,"A photo of a Jeans, on white background, high quality."
d60a9c88d79336a167238009d2642dd2,eab412468810181f655dde4adba04564,"An image of a yellow-and-white vertical stripe cotton mini shirt dress featuring a relaxed fit, collared neckline, button-down front, and a matching self-tie belt at the waist",Generate an image of a relaxed-fit vertical stripe mini shirt dress with a waist belt,Generate an image of a mini shirt dress, ,"A photo of a Dress, on white background, high quality."
c2ed962e7fa6fcae05dcca856ad04c0f,fccfd89847405ae8b836770550a88e42,"An image of black nylon cargo jogger pants with a relaxed tapered fit, elastic cuffs, and zip pockets",Generate an image of black cargo jogger pants with a tapered fit,Generate an image of jogger pants, ,"A photo of a Cargo Jogger Pants, on white background, high quality."
9570cdaa1679a41f50fd50a7f74d152f,ada9b501e871f385af0379927e622854,An image of dark grey stretch denim skinny jeans with ripped distressing and a raw frayed hem,Generate an image of dark grey skinny jeans with ripped details,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
12cf0ff1e03c3e1e7a6cf617c03ed2c2,2b504a4682214d87d39a2e8991f7c96e,"An image of blue denim shorts topped with a sheer white tulle overlay that drapes to ankle length like a layered maxi skirt, combining structured denim with flowing translucent fabric and a fitted mid-rise waist",Generate an image of a layered maxi skirt featuring denim shorts beneath a sheer tulle overlay,Generate an image of denim-tulle layered skirt, ,"A photo of a Skirt, on white background, high quality."
aad2de17adf0b143becbbdfe83cf2b93,74c8cb9e9eb1575af36186197f08d780,"An image of  black high-waisted stretch skinny jeans in flexible denim, featuring a figure-hugging fit, classic five-pocket design, belt loops, and a zip fly",Generate an image of black high-waisted skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
79a57c528cfc105f5dd4229edd222d5c,50c9620ed5e651185375dca50c845842,An image of black denim slim straight-leg jeans with raw hems and side slits,Generate an image of black slim straight-leg jeans,Generate an image of straight-leg jeans, ,"A photo of a Jeans, on white background, high quality."
d86ce3fa4b8e1d87febf87663fd5c3ff,7e09d966d1e9e69d8963e302eea0e169,An image of black slim-fit cotton jogger sweatpants with a drawstring waistband and ribbed cuffs,Generate an image of black slim-fit jogger sweatpants,Generate an image of jogger sweatpants, ,"A photo of a Sweatpants, on white background, high quality."
a28124f1ddcf5a8cf3bcadf3e16c12a5,719f6d8b78c81c7c018021a8b99121ab,"An image of black cotton jogger sweatpants featuring a relaxed tapered fit, elastic drawstring waistband, blue and white side stripes down the legs, and ribbed ankle cuffs",Generate an image of black tapered jogger sweatpants with blue and white side stripes,Generate an image of jogger sweatpants, ,"A photo of a Joggers, on white background, high quality."
620e6346d74e291d6c4d1b9c9bbceb29,716cddc26e9d84c89317fff9d349d583,"An image of light wash denim cargo jogger pants crafted from denim with a relaxed tapered fit, featuring cargo pockets and elastic cuffs",Generate an image of light wash denim cargo jogger pants,Generate an image of cargo jogger pants, ,"A photo of a Cargo Jogger Pants, on white background, high quality."
74eaadde0a818e0e246ba82eb731a48d,f58139e4960c04760df104f73b18de1e,Generate an image of  straight-leg blue denim jeans with contrast pockets,Generate an image of straight-leg blue jeans,Generate an image of jeans, ,"A photo of a Jeans, on white background, high quality."
eefd18fdba3630639343e40f0c8453c5,dc9a8d78d51977ede14b81aa67cb98d1,"An image of light wash high-waisted denim jean shorts crafted from cotton denim, featuring a relaxed fit, classic five-pocket styling, and raw frayed hems",Generate an image of light wash high-waisted denim jean shorts with a relaxed fit,Generate an image of denim shorts, ,"A photo of a Jean Shorts, on white background, high quality."
eefd18fdba3630639343e40f0c8453c5,dc9a8d78d51977ede14b81aa67cb98d1,"An image of light wash high-waisted denim jean shorts crafted from cotton denim, featuring a relaxed fit, classic five-pocket styling, and raw frayed hems",Generate an image of light wash high-waisted denim jean shorts with a relaxed fit,Generate an image of denim shorts, ,"A photo of a Jeans, on white background, high quality."
f172443f59fa2ad3e0ea8322c8f34825,be9f2fd813faca206e9f62cc292fe231,"An image of black jogger track pants crafted from smooth polyester knit, featuring a slim athletic fit, adjustable drawstring waistband, ribbed ankle cuffs, and bold double white side stripes running down each leg",Generate an image of black tapered jogger track pants with double white side stripes,Generate an image of jogger pants with side stripes, ,"A photo of a Jogger Pants, on white background, high quality."
9bbb4b0bbaf9cd1c31e10201d943681d,8f59950f0986c58451461ab3b2d5729b,An image of light-wash high-waisted distressed denim cutoff shorts with frayed hems and raw edges,Generate an image of light-wash high-waisted cutoff denim shorts,Generate an image of denim shorts, ,"A photo of a Shorts, on white background, high quality."
04589486980eb240cb4128ac5008efe3,b311a9dd68965eb9dc9fda8fed4af9b2,"An image of light grey wool-blend suit trousers with a straight-leg fit, front pleats, and a tailored waistband",Generate an image of light grey straight-leg suit trousers,Generate an image of suit trousers, ,"A photo of a Trousers, on white background, high quality."
32c53cd3c93137a7d5a34f5c9cd5a3de,816eca74703c9ba387362c8fca2c24da,"Generate an image of  black cotton-twill utility cargo shorts with a relaxed fit, featuring multiple cargo pockets and a back flap pocket",Generate an image of  black utility cargo shorts with a relaxed fit,Generate an image of cargo shorts, ,"A photo of a Cargo Shorts, on white background, high quality."
105a2857817ccd60676906630c4a8aa3,59a1d6315d7598bae22cbebe47665975,"Generate an image of black cropped nylon cargo jogger pants with utility side pockets, an elastic waistband, and ribbed cuffs",Generate an image of cropped cargo jogger pants in black,Generate an image of cargo joggers, ,"A photo of a Cargo Jogger Pants, on white background, high quality."
faf157ca8a99c43daf8bf4a2ec09e4d0,d7beed04b5690978afc8847c3fead092,"An image of  light-wash denim jeans featuring a high waist, straight-leg fit, classic five-pocket styling, and button-fly closure",Generate an image of  high-waisted straight-leg jeans in light wash,Generate an image of straight-leg jeans, ,"A photo of a Jeans, on white background, high quality."
ab22669ac9bace4bbc603d0c4c17d81c,81b7f1d0e253bc0e9fd157694d9a9cc1,An image of  navy nylon athletic shorts featuring a regular athletic fit and secure zip pockets,Generate an image of navy athletic shorts with a regular fit,Generate an image of athletic shorts, ,"A photo of a Athletic Shorts, on white background, high quality."
